id,skill,task_type,level,difficulty,prompt,stimulus,answer_key,sub_skill,explanation,created_at
041ef8ef-d1be-4727-a00f-183ab06b0184,listening,short_answer,A2,0.5,How much is the four-class monthly option?,"Woman: Hello, City Sports Centre.
Man: Hi. I'm calling about the evening badminton classes.
Woman: Yes, we have them on Mondays and Wednesdays. Beginners start at six and the mixed-level group starts at seven fifteen.
Man: Right. I'm probably a beginner. Do I need to bring my own racket?
Woman: No, you can borrow one for the first two weeks. After that, most people bring their own.
Man: Great. And how much is it?
Woman: It's eight pounds per class, or twenty-eight pounds for four classes in one month.
Man: Thanks. I'll come on Wednesday.
Woman: Fine. Please arrive ten minutes before the class starts.","{""options"":[],""metadata"":{""rationale"":""The learner follows short everyday conversations and extracts key practical information with clear support."",""subskills"":[""practical detail"",""purpose"",""simple inference"",""familiar transactional language""],""tts_notes"":""Two distinct British voices, moderate pace, slight pause between turns."",""distractors"":{""common_error"":""Learners may answer 'eight pounds', which is the single-class price.""},""original_id"":""L_A2_01_Q4""},""explanation"":""The woman quotes twenty-eight pounds for four classes in one month."",""correctValue"":""twenty-eight pounds"",""correct_index"":-1}",,,2026-04-15 21:47:39.337225+00
0642db59-f826-418a-b972-fc1e0f36612f,speaking,audio,C2,0.5,Present a well-structured response. Include both your view and a serious counter-view before concluding.,"{""scenario"":""A town newsletter plans an editorial saying, 'Public services should always favour maximum convenience for users.' Respond as a guest speaker. Analyse the statement, identify where it may be persuasive, explain where it may fail, and conclude with a more defensible principle."",""prompt_mode"":""RECORDED_MONOLOGUE""}","{""mode"":""RECORDED_MONOLOGUE"",""metadata"":{""rationale"":""The learner can sustain precise, flexible, persuasive discourse, integrating concession and counter-position without losing coherence."",""subskills"":[""nuanced reasoning"",""counterargument"",""discourse control"",""fine register shifts""],""original_id"":""S_C2_01"",""scoring_notes"":{""points_total"":25,""mapping_notes"":""Used to verify a C2 ceiling after very strong C1 evidence."",""points_by_skill"":{""Speaking"":25}}},""scenario"":""A town newsletter plans an editorial saying, 'Public services should always favour maximum convenience for users.' Respond as a guest speaker. Analyse the statement, identify where it may be persuasive, explain where it may fail, and conclude with a more defensible principle."",""follow_up_questions"":[""How would you adapt that response for a short radio interview?"",""What assumptions in the original statement needed the most challenge?""]}",,,2026-04-15 21:47:39.707308+00
076947ad-4030-4e3a-b633-1ff3d6b0334c,speaking,audio,B2,0.5,Respond naturally and try to sound polite but clear.,"{""scenario"":""Short interaction simulation. You are speaking to a colleague about a group project. The deadline has been moved forward by two days. Explain what the main problem is, suggest a practical solution, and respond if the colleague says, 'We should just work longer tonight.'"",""prompt_mode"":""SHORT_INTERACTION_SIM""}","{""mode"":""SHORT_INTERACTION_SIM"",""metadata"":{""rationale"":""The learner can develop a viewpoint clearly, justify choices and handle a semi-formal interaction with some flexibility."",""subskills"":[""extended explanation"",""negotiation"",""pragmatic appropriacy"",""clear argument""],""original_id"":""S_B2_01"",""scoring_notes"":{""points_total"":25,""mapping_notes"":""Confirms B2 when the learner can manage stance, support reasons and adapt tone."",""points_by_skill"":{""Speaking"":25}}},""scenario"":""Short interaction simulation. You are speaking to a colleague about a group project. The deadline has been moved forward by two days. Explain what the main problem is, suggest a practical solution, and respond if the colleague says, 'We should just work longer tonight.'"",""follow_up_questions"":[""Which solution would you finally recommend, and why?"",""How would your answer change if the colleague were your manager?""]}",,,2026-04-15 21:47:39.707308+00
0c4c55f0-9237-4fb4-8035-3a0c42111d3d,speaking,audio,A1,0.5,Speak for about 30 to 45 seconds. Use simple English. It is fine to pause briefly.,"{""scenario"":""Introduce yourself to a new classmate. Say your name, where you live, what you do most days, and one thing you like."",""prompt_mode"":""RECORDED_MONOLOGUE""}","{""mode"":""RECORDED_MONOLOGUE"",""metadata"":{""rationale"":""The learner gives basic information about self and routine using simple memorised or formulaic language."",""subskills"":[""personal information"",""simple present description"",""basic intelligibility"",""task fulfilment""],""original_id"":""S_A1_01"",""scoring_notes"":{""points_total"":25,""mapping_notes"":""Rate with the speaking rubric. If performance is secure, move to an A2 or B1 boundary prompt depending on confidence."",""points_by_skill"":{""Speaking"":25}}},""scenario"":""Introduce yourself to a new classmate. Say your name, where you live, what you do most days, and one thing you like."",""follow_up_questions"":[""What time do you usually start your day?"",""What do you like doing at the weekend?""]}",,,2026-04-15 21:47:39.707308+00
0d1bb2f6-404d-4a60-b588-d46926869275,reading,short_answer,A1,0.5,By which day should Maya phone if she cannot come?,"Hello Maya,
Your new library card is ready. Please collect it at the front desk between 10.00 and 4.00 this week. Bring one photo ID. On Saturday, the library closes at 1.00. If you cannot come, phone us before Friday.
Thank you,
Town Library","{""options"":[],""metadata"":{""rationale"":""The learner reads short, concrete everyday information and identifies basic facts with limited inference."",""subskills"":[""gist"",""detail"",""simple inference"",""everyday notices""],""distractors"":{""common_error"":""Learners may answer 'Saturday' because it is another day named in the message.""},""original_id"":""R_A1_01_Q4""},""explanation"":""The message says, 'If you cannot come, phone us before Friday.'"",""correctValue"":""before Friday"",""correct_index"":-1}",,,2026-04-15 21:47:38.796221+00
11c0a835-f7c0-44af-9947-9fd6bd82f005,reading,short_answer,C2,0.5,"Complete the contrast in the final paragraph: friction may guard against costly impulsiveness, or it may ________.","In discussions of digital services, 'friction' is often treated as a flaw to be eliminated. The ideal user journey, we are told, is one in which intention flows effortlessly into action. Yet this language assumes that every hesitation is waste. In practice, some forms of friction do not obstruct judgement; they create the brief pause in which judgement becomes possible. A confirmation screen before deleting years of photographs, a cooling-off period before a major purchase, or a requirement to revisit the implications of sharing personal data can all be irritating in the narrow sense that they slow us down. But the inconvenience is not always incidental to the value; it may be part of it.

The difficulty is that beneficial friction cannot simply be maximised. Delay piled upon delay soon ceases to protect reflection and starts to punish ordinary use. Nor is all reflection equally distributed: what feels like a welcome safeguard to one user may feel like a bureaucratic maze to another. The design problem, then, is not whether systems should be smooth or resistant. It is how to distinguish between friction that guards against costly impulsiveness and friction that merely advertises institutional distrust. The distinction is morally and politically relevant because designers rarely decide only how quickly a task can be done. They also, more quietly, shape the terms on which people are treated as careful, careless, trusted or suspect.","{""options"":[],""metadata"":{""rationale"":""The learner handles dense abstract prose, unpacks layered reasoning, and identifies both the claim and its limits with precision."",""subskills"":[""synthesis"",""fine-grained inference"",""conceptual precision"",""argument evaluation"",""counter-position recognition""],""distractors"":{""common_error"":""Learners may write 'slow users down', which is too general and misses the moral distinction.""},""original_id"":""R_C2_01_Q4""},""explanation"":""This exact contrast forms the core evaluative distinction of the passage."",""correctValue"":""merely advertise institutional distrust"",""correct_index"":-1}",,,2026-04-15 21:47:39.098479+00
12cef2bb-163b-4500-83bd-3f05f5578732,listening,mcq,A2,0.5,When will the man go to the centre?,"Woman: Hello, City Sports Centre.
Man: Hi. I'm calling about the evening badminton classes.
Woman: Yes, we have them on Mondays and Wednesdays. Beginners start at six and the mixed-level group starts at seven fifteen.
Man: Right. I'm probably a beginner. Do I need to bring my own racket?
Woman: No, you can borrow one for the first two weeks. After that, most people bring their own.
Man: Great. And how much is it?
Woman: It's eight pounds per class, or twenty-eight pounds for four classes in one month.
Man: Thanks. I'll come on Wednesday.
Woman: Fine. Please arrive ten minutes before the class starts.","{""options"":[""On Wednesday"",""On Monday"",""Tonight"",""Next month""],""metadata"":{""rationale"":""The learner follows short everyday conversations and extracts key practical information with clear support."",""subskills"":[""practical detail"",""purpose"",""simple inference"",""familiar transactional language""],""tts_notes"":""Two distinct British voices, moderate pace, slight pause between turns."",""distractors"":{""Tonight"":""Evening classes may prompt this assumption."",""On Monday"":""Monday is one of the class days, so it is an attractive distractor."",""Next month"":""The monthly option may lead to confusion about timing.""},""original_id"":""L_A2_01_Q5""},""explanation"":""The man says, 'I'll come on Wednesday.'"",""correctValue"":""On Wednesday"",""correct_index"":0}",,,2026-04-15 21:47:39.337225+00
19606167-78d3-43e1-9937-aa5ccc21cef1,writing,open_ended,B1,0.5,Write 100 to 130 words. Organise your email into clear paragraphs.,"{""scenario"":""You booked a short course, but you can no longer attend on the original dates. Write an email to the organiser. Explain your situation, ask whether you can move to a later course, and say why the course is important to you."",""purpose"":""practical email"",""audience"":""course organiser"",""register"":""neutral-polite""}","{""purpose"":""practical email"",""audience"":""course organiser"",""metadata"":{""rationale"":""The learner can write straightforward connected text on familiar matters, explaining reasons and requesting a practical outcome."",""subskills"":[""email writing"",""explanation"",""reason-giving"",""clear organisation""],""original_id"":""W_B1_01"",""scoring_notes"":{""points_total"":25,""mapping_notes"":""Default starting writing task."",""points_by_skill"":{""Writing"":25}}},""register"":""neutral-polite"",""scenario"":""You booked a short course, but you can no longer attend on the original dates. Write an email to the organiser. Explain your situation, ask whether you can move to a later course, and say why the course is important to you.""}",,,2026-04-15 21:47:39.707308+00
1c39dfb2-6767-4c0b-b4da-df6265026564,listening,mcq,A1,0.5,What should the listener bring?,"Hello, this is Green Street Dental Centre. Your appointment is on Tuesday the 14th at half past nine in the morning. Please arrive ten minutes early and bring your health card. If you need to change the time, call us before Monday afternoon. Thank you.","{""options"":[""A health card"",""A passport photo"",""A bill"",""A toothbrush""],""metadata"":{""rationale"":""The learner understands very simple recorded messages with clear delivery and familiar practical content."",""subskills"":[""gist"",""detail"",""time and date recognition"",""simple instruction""],""tts_notes"":""Slow-clear pace, neutral British voice, natural pauses after date, time and instructions."",""distractors"":{""A bill"":""Bills are common in appointments but are not mentioned."",""A toothbrush"":""A dental setting may trigger this association."",""A passport photo"":""Official appointments often involve ID, which may mislead guessers.""},""original_id"":""L_A1_01_Q3""},""explanation"":""The message asks the listener to bring a health card."",""correctValue"":""A health card"",""correct_index"":0}",,,2026-04-15 21:47:39.337225+00
1c6a75ed-125e-4927-a0a0-922df8aed81b,reading,mcq,C2,0.5,What is the central claim of the first paragraph?,"In discussions of digital services, 'friction' is often treated as a flaw to be eliminated. The ideal user journey, we are told, is one in which intention flows effortlessly into action. Yet this language assumes that every hesitation is waste. In practice, some forms of friction do not obstruct judgement; they create the brief pause in which judgement becomes possible. A confirmation screen before deleting years of photographs, a cooling-off period before a major purchase, or a requirement to revisit the implications of sharing personal data can all be irritating in the narrow sense that they slow us down. But the inconvenience is not always incidental to the value; it may be part of it.

The difficulty is that beneficial friction cannot simply be maximised. Delay piled upon delay soon ceases to protect reflection and starts to punish ordinary use. Nor is all reflection equally distributed: what feels like a welcome safeguard to one user may feel like a bureaucratic maze to another. The design problem, then, is not whether systems should be smooth or resistant. It is how to distinguish between friction that guards against costly impulsiveness and friction that merely advertises institutional distrust. The distinction is morally and politically relevant because designers rarely decide only how quickly a task can be done. They also, more quietly, shape the terms on which people are treated as careful, careless, trusted or suspect.","{""options"":[""Some inconvenience can be integral to better decision-making"",""All user hesitation is evidence of poor design"",""People dislike digital services that ask for confirmation"",""Deleting photographs should always require a waiting period""],""metadata"":{""rationale"":""The learner handles dense abstract prose, unpacks layered reasoning, and identifies both the claim and its limits with precision."",""subskills"":[""synthesis"",""fine-grained inference"",""conceptual precision"",""argument evaluation"",""counter-position recognition""],""distractors"":{""All user hesitation is evidence of poor design"":""This is the view the writer challenges."",""People dislike digital services that ask for confirmation"":""Irritation is mentioned, but this is not the core claim."",""Deleting photographs should always require a waiting period"":""The example is illustrative, not a universal rule.""},""original_id"":""R_C2_01_Q1""},""explanation"":""The paragraph argues that certain pauses are valuable because they enable judgement rather than merely slowing action."",""correctValue"":""Some inconvenience can be integral to better decision-making"",""correct_index"":0}",,,2026-04-15 21:47:39.098479+00
